,Statement,Emotion
53,Hey.,neutral
54,We are bad people.,disgust
55,I guess I didn’t really think about it.,neutral
56,Oh God. So-so you’re making porn movies.,surprise
57, Thank you . When and where shall we meet ? ,joy
58,"""Baddest man in the whole damn town.""",neutral
59,"Wait, wait, Chandler, this is what you're havin' for Thanksgiving dinner?",surprise
60, OK.thank you . ,joy
61,"Oh it’s umm, it’s tofu cake. Do you want some?",neutral
62,Or at least not to me.,neutral
63," Well , I guess we're all set for another merry Christmas . ",joy
64, It's just like listening to a language which you know nothing at all . ,disgust
65,This is the first time for me to have a Chinese guest . I hope you like western cooking . ,joy
66,"Oh, what a fun office.",joy
67,I am so sorry I spilled wine all over your shirt.,sadness
68," Ok , thanks . I'll let you know what I find . ",joy
69," Wow , what a lovely cake . ",joy
70,Hey!!,joy
71,"Yeah, he doesn’t like me.",anger
72,Call me.,neutral
73, You are welcome ! ,joy
74,Hi!,joy
75," I'm afraid not , sir . Generally we can , but you know how it is in the rush hour now . ",sadness
76,Shall we sing with a karaoke ? ,joy
77," Thank you , ma'am . It's been a pleasure doing business with you . ",joy
78, that's true . I could certainly use the exercise ! ,joy
79,"Well, what’d you do?",surprise
80,"Hey, you guys. Listen, I’m sorry that I was hogging the game before——Oh my God! Your friends have some unfortunate initials!",sadness
81, Are you kidding ? That's the stupidest gift one can buy . I don't want to get a tie . ,surprise
82," Oh , great ! I love it ! You know I've been expecting this for a long time . ",surprise
83,"Hey, do you realize we may have just changed our lives forever?",joy
84, Really ? ,surprise
85,"No, see the thing is I want to get out of here before Joey gets all worked up and starts calling everybody bitch.",neutral
86,"That’s not true, there are great pictures of us!",surprise
87, Good . How much is it when we take it ? ,joy
88, Cool ! Anything else ? ,joy
89,"Hey, Joey, what would you do if you were omnipotent?",neutral
90,"With them, under them, what’s the difference? Eh, Rach?",neutral
91,Mike's going to have a self-driving traveling across the country . ,joy
92,Yeah.,neutral
93," Oh , really ? ",surprise
94,"No-no, I say-I say, I say we get back at him right on this couch.",neutral
95,"So, so, what’d ya think?",neutral
96,"God, I feel so guilty about Ross.",sadness
97,"I tried to call you from the coffee shop, and there was no answer.",neutral
98,"So, this must be kinda neat for ya, huh?",neutral
99," Well , then , I'll talk to you later . Have a good day ! ",joy
100,I have a complaint to make . I've just been badly treated by a rude maid . ,anger
101,Toby don’t.,sadness
102," great ! Oh , one more thing , don't forget to check the weather before we go . I'd hate to get caught in the rain . ",joy
103, I really love their dancing . They are all excellent dancers . ,joy
104,You decided to go into the out-of-work actor business.,neutral
105, You've come to the right store . We've got a beautiful and wide selection of necklaces for you to choose from . ,joy
106,"Okay, it was just me and her at the back of the train, and I sat near the door, so she’d have to pass by me if she wanted to switch cars.",joy
107,Because it’s weird!,disgust
108, Thank you ! ,joy
109, That ’ s perfect . ,joy
110,"Okay Bobby, why don’t we just come over here and let them have a little moment.",neutral
111,Surprise,sadness
112,I always knew she liked him!,anger
113,I mean.,neutral
114,"Ooh, nice.",joy
115,You think it looked amazing?,sadness
116, What ? Why ? Can ’ t you renew it ? ,surprise
117, And I can concentrate on my study after the relaxation over the weekend . ,joy
118," Computers are great , aren ’ t they ? I should download some programs and learn how to use them . ",joy
119, That's a good idea . Let's go ! ,joy
120,Have you really done this before?,surprise
121,"Okay, a little higher.",neutral
122, What are you thinking of doing ? ,joy
123, Say I've got two tickets for the concert this evening.Would you like to come with me ? ,joy
124,This is so much better than the first time we went out.,joy
125,"Hi, this is Monica from the plane?",neutral
126, Yes . We can make great efforts to make it become true as long as we have a clear goal . ,joy
127, thank you . I think I should also have a look at the Internet to see if anyone's got a sublet . ,joy
128," Come on , Liz . Be open-minded ! Look at my eyes , they are puffy . And my eye bags , they are dark and loose and full of lines and circles . I really hope surgery can wipe out the tired feelings . ",anger
129,Oh my God! What are you doing here?,surprise
130," Ha-ha , so you believe in astrology ? ",joy
131,"Ok, three kinds of potatoes coming up.",neutral
132,Here. I need to borrow some moisturizer.,neutral
133, ( At the Party ) It's Christmas Eve ! Time to open presents ! ,joy
134," Yes , I've been thinking about Florida . ",joy
135, What ? ! You did that ? ? ! ! ! ,surprise
136, Fine ! Do you want anything to eat now ? ,joy
137, See you ! ,joy
138,"Okay, but the money’s good, plus you get to stare at Rachel as much as you want.",neutral
139," This is interesting , Ms.Parker . ",joy
140," I am sorry , it's out of stock right now . ",sadness
141,This guy fell asleep!,anger
142, See you later . ,joy
143,"This doesn’t mean anything, does it?",fear
144,May I invite you for a dance ? ,joy
145,"Oh, I'm sorry.",sadness
146, Do you need help setting up or anything ? I don't mind . I like to do that kind of thing . It's fun and I have a good eye for decorating . ,joy
147," A holiday , I hope ! No , really , we are looking into some courses on motivational techniques . We'll add them to the list when we choose a lecturer . ",joy
148, It's a pity that I'm too busy to see you off tomorrow . ,joy
149,"Don't go anywhere, I'll be right back.",neutral
150,"Oh really? So, 33 and still single, would you say you have commitment issues?",surprise
151,"Wow , you ’ re up early today ! What ’ s for breakfast ? ",surprise
152,"Your good heart Rach,  and, and....",sadness
153,"Let me hold the door for you , miss . ",joy
154," Yeah ... me , too . ",joy
155,Ok.,neutral
156,"Hey, I was doin' great before I found out about you. You think it's easy for me to see you with Julie?",anger
157,"Come on Ross be realistic, y'know? If I did write something, what are the chances I could get those guys to star in it?",sadness
158,Oh no!,surprise
159, Thank you SO much . ,joy
160," Yes . Hey , I've got some photos of our holiday in Ireland . Would you like to see them ? ",joy
161, We appreciate your business . ,joy
162," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . ",anger
163," Oh , a nice handkerchief . That's a great idea . I'll take it . ",joy
164, I'm glad to help . ,joy
165,"Okay, I don’t know what to do anymore.",sadness
166, Thank god ! A car's leaving . It's my turn ! ,joy
167, Maybe we all should learn something from him . ,joy
168, Thank you ! ,joy
169,"So-so if anyone has-has a better suggestion, let's hear it!",anger
170,I can't believe you wear jeans to the office ! Are you trying to lose your job ? ,surprise
171," Yes , the food here deserves its reputation . Chinese food is one of my favorites 。 ",joy
172,Emma!  See? I don’t want it.,sadness
173, Thank you very much . ,joy
174,We need a porn break.,neutral
175,"You know, I knew a girl in high school who did that. She was",neutral
176,"So you tell your great-great-granddaughter to look me up, because Adrienne, baby, I’m gonna want to meet her.",neutral
177, Thank you for the dance . ,joy
178,Aren ’ t you interested in watching the Olympics ? There have been some excellent performances by athletes from all over the world . ,joy
179," You've made an excellent choice , sir . ",joy
180, Waiter ! ,anger
181,"Oh, what are you, stupid? It’s been three hours.",anger
182,Because I lose her stuff!,anger
183,Oh not again!,anger
184,"I don’t know, something girlie.",joy
185,"Well okay, I’ll swing by later. Do you live in this building?",neutral
186,"Oh, what? What was it?",surprise
187," Thanks , Tim . Nice meeting you , too . ",joy
188, It really must be an exciting time for you guys . ,joy
189," You'll just need roughly $ 10 for food and gas money . My friend is driving , so we usually all chip in a few dollars for gas money . ",joy
190,Yeah.,neutral
191," Thank you , I just tried my best . I am very happy to know you like it . ",joy
192," Not at all . Bang the door , please . ",joy
193, $ 120.The small gift box is complementary . ,joy
194,"Hello , Mr . Brown , long time no see . Where have you been ? ",joy
195," No , I ’ m on a vacation to see the famous Three Gorges . ",joy
196,I'm with Hamilton!,neutral
197,"Yeah uh, what am I gonna do?",neutral
198, We had a fantastic time . ,joy
199,Done.,joy
200,"I know!  Don't switch hands, okay?",fear
201, Next Saturday ? I ’ m sorry . I ’ Ve promised to go to a Chinese Opera with my daughter . ,joy
202,"Mom , I just finished my paper . Can you proofread it before I hand it in ? ",joy
203, I feel very nervous about it . ,fear
204," Oh , that's right . You are supposed to deliver a brief on that account tomorrow . I know there are some things I need to share with you about that . But , gosh , I don't know ... Things are really busy for me today , the only time I can manage to squeeze out might be over lunch break ... ",sadness
205," Certainly , that's easy . We will work out our CIF offer this evening . Could you come again tomorrow , say , at 10 AM ? ",joy
206," Of course . Wait for a moment , please . ",joy
207," Well , I ’ m glad to hear it . Have a cup of coffee ! ",joy
208, Absolutely ! Everything that ’ s thrilling turns me on . ,joy
209, I am glad you like it . ,joy
210,"Come on over here, sweetheart.",neutral
211,Hey! It’s Porsche!!,anger
212,"Oh God, I hate my job, I hate it, I hate my job, I hate it.",disgust
213, Sure . The main courses are roast Beijing duck and fried eel slices . ,joy
214,It was my,neutral
215, It was great to meet you last week at the conference . I really enjoyed our conversation about foreign investment . ,joy
216,"Rachel! Well, you-you’re not at home, you’re-you’re-you’re right here.",surprise
217,Oh yeah! We went to the Knicks game.,joy
218, My gosh ! How romantic ! When's the big day ? ,joy
219," Rally ? ... barman ! ... a large coke with ice and lemon , please ... thanks . Here ’ s the money . ",surprise
220,What?!,surprise
221,I gotta side with Chandler on this one.,neutral
222,I like this kind of weather . ,joy
223," Who knows , maybe one day he will sit on the desk of a top CEO in a major corporation ! ",joy
224,Here's my retainer!,neutral
225, It sure was . I couldn't eat another bite . ,joy
226,"Thanks, see you at the party.",neutral
227,Someone in there?,neutral
228,I swear I will never shop at a street market in China . It's a terrible place full of excellent profiteers ! You have to keep an eye whenever it comes to paying for something . ,anger
229, Cool ! They're big ! What have you got in there ? ,joy
230," Wow , that is cheap . Thank you very much . ",joy
231,"I’m seeing this guy Roger, all right?",neutral
232, Cool . Then I can just throw everything in the dryer for an hour and it ’ s all set right ? ,joy
233,"I don’t know, but Donald Trump wants his blue blazer black.",neutral
234, Excuse me ? I hope I didn't just hear what I think I just heard . ,anger
235, Are you ready to welcome him ? ,joy
236, Sounds interesting ! ,joy
237,"See, this is a",neutral
238,"So Chandler, your parents must’ve been thrilled when you told them you were engaged.",joy
239,"Oh yeah. Boy, urine cuts",disgust
240,Hey!,joy
241, That sounds good to me . I'll have the same . ,joy
242, Thanks very much . I ’ m sure it will sell well . I can ’ t wait to read it . Here ’ s my card . Thank you for you time . ,joy
243,"Wait a second, I could star in it!",joy
244,Hey! You can’t go back there!,surprise
245,Surprise,joy
246, That sounds great . I'll bring a bottle of wine . ,joy
247,"I mean, y’know, I’m just waiting for the perfect guy.",neutral
248,"Thanks for comin’ back, umm, okay there have been a lot of people interested in the room, but I have narrowed it down and",neutral
249,Come on.,neutral
250,Really?,surprise
251," Great , I ’ ll see you then . ",joy
252, This is a first ! You must have won the lottery . ,joy
253, She has nothing that deserves my jealousy . I don't have to put things on my face and I still look pretty . Don't you think so ? ,disgust
254, My poor memory . Thank you very much . ,joy
255,"Uhh, are you saying that you're not entirely happy about this?",surprise
256, Are you serious ? You haven't even been anywhere on vacation ? ,surprise
257,"Oh , so many kinds of winter hats . ",joy
258," OK , I will . Goodbye and remember to look me up if ever you're in Paris . ",joy
259, He's the nicest boss I've had . ,joy
260, Great . How would you like to pay for it ? ,joy
261,I didn't wanna leave him alone.,neutral
262,Forty-five minutes? We have tickets to the,surprise
263,That is true.,neutral
264,"I mean, your Dad tells me that you get a couple of days off school, and you, you ah, don’t have to sell those cookies anymore.",neutral
265, What ? You don ’ t know the first thing about gardening ! ,surprise
266, Sound like everything is great . ,joy
267, He must be mad ! Nick is a loan shark . ,surprise
268,"Actually, that can't happen.",neutral
269,"Hey, Mon, if you were hoping to sleep with Joshua the first time tonight, which one of these would you want to be wearing.",neutral
270,"I don’t have a key, they took mine to give to you.",neutral
271,I'm going to try sky diving this weekend . ,joy
272, It looks nice . How much is it ? ,joy
273, That ’ s a good idea . It must be easy to find a job in shanghai . ,joy
274, You ’ re welcome . ,joy
275,You know? Forget it!,sadness
276,This is kind of a classy place.,neutral
277, Thank you for meeting me here . ,joy
278, The post office.Sorry . I ’ m not sure . ,sadness
279," Yeah , maybe . Thanks , anyway . Hope you guys have a great time ! ",joy
280,Nothing! It's an expression.,neutral
281,String?,neutral
282," Yeah . I like it . Hey , it looks like the food is ready . ",joy
283,"I know, but, I made a huge mistake. I never should have broken up with her. Will you help me? Please?",sadness
284, Please come again . ,joy
285,So why don’t you give me your number?,neutral
286," yeah , I'll call her later to patch things up . ",joy
287, That's harsh . ,anger
288," Thanks , Jeanine , you are a real pal . Let's go in . ",joy
289,You found my book?!,anger
290," come on , you sound like my Mom.Look at that , it's beautiful ! ",joy
291,"Umm, oh here—Do you want a good one?",neutral
292, So do you ! How are you doing ? ,joy
293, I hate the hero.He ' s too cruel . ,disgust
294,"Okay, I'm gonna ask you questions and you answer real quick.",neutral
295,"Look, is there something wrong with me?",sadness
296, All right ! Thank you . ,joy
297,"Well, not just lemonade, iced tea, sometimes juice.",neutral
298,I want to see what he wants first.,neutral
299,Would you please go?,joy
300,Really helped speed the process along!,joy
301," Toilets are in the rear , I am afraid all the toilets are fully occupied at the moment . ",sadness
302,No!,surprise
303,"Yeah, but when the baby comes she’s gonna want to move.",neutral
304," Yeah.Oh , here it comes ! why don't we watch it together ? they are going to have a court debate in this episode . It should be good . ",joy
305,What?! You said he was sweet!,surprise
306, You're really sporty ! ,joy
307, I think I will . Thanks for the info . ,joy
308," Oh , very good . ",joy
309, What ’ s wrong with that ? Cigarette is the thing I go crazy for . ,anger
310,"Hey, what about the scene with the kangaroo? Did-did you like that part?",neutral
311, How come you don ’ t know where it is ? ,surprise
312,"Oh, well he's yummy. We did a little kissin'.",joy
313,I am hurt!  A plague on both your houses!,sadness
314, You are passing the buck . I'll be hanged if I ask you to go to the park with us . ,anger
315," Sorry , madam . We have stopped selling those kinds of eggs for a week . ",sadness
316,This sucks!,anger
317,Y’know I don’t understand why they didn’t cry. It was a beautiful speech.,sadness
318," Nice to meet you . I'm Wen , and this is Nikki . ",joy
319, Why ? ,surprise
320, I'll see you later then . Have a great day ! ,joy
321,"Do you remember when you first came here, how you spent two weeks getting trained by another waitress?",neutral
322,"Pheebs, what about you?",neutral
323,Steve . Is that you ? ,surprise
324,This is our wedding I’m talking about.,anger
325,It was dreadful. I felt terrible about how I acted when you said those wonderful things.,sadness
326, Really ? ,surprise
327,The Hardy boys?,anger
328,"Uh, it was very nice meeting you.",neutral
329,How?! When?!,surprise
330,My lighter’s in there!,fear
331, Oh ! Thank you very much . I heard that you are currently writing a collection of short stories . What are the stories about ? ,joy
332,"Hero, I uh, I don’t know—well, all right.",neutral
333, I've created a monster ... you're a better bayer than me ! ,anger
334,What a nice day ! ,joy
335, That's incredible ! ,surprise
336, I am so happy that she's doing okay . ,joy
337," Alright , then let's take an umbrella . Is your brother coming with us ? ",joy
338, Nice to see you too . It's been a long time . ,joy
339," Sure , I've been meaning to visit that place myself . ",joy
340, That ’ s interesting . They must be thinking of moving into that market . Are there any interesting editorials ? ,joy
341, Thanks you for the encouragement . ,joy
342, I think we should go out more frequently . The natural scenery can do us good . ,joy
343,What?,surprise
344,Oh.,neutral
345,"Oh! ...Hello, dear.",surprise
346,"Oh, I'd love to, but I gotta get up so early the next day and    so, you know me, work comes first",neutral
347," See you at seven fifteen , Saturday . ",joy
348," Look , nice fresh cherries ! They are ripe and soft . I'll take some . ",joy
349,Your son.,neutral
350, Fantastic ! Please send him my congratulations . ,joy
351, That's why we want to have a look at other hotels . We don ’ t want to spend too much on an extravagant wedding reception . ,joy
352,"It's just her water breaking. Calm down, will you?",neutral
353, Follow me to the back-yard . ,joy
354,"Yes. Yes! Please, come in.",neutral
355," OK , goodbye . ",joy
356,Who?,neutral
357,You made pancakes?,surprise
358,"Well, you do realise the odds of that happening are a little slimmer if they never get to meet the guy..",neutral
359,I can ’ t believe it ! ,surprise
360,"Oh, yeah, yeah, yeah...",neutral
361,"Oh, DAMN IT!",anger
362,Merry Christmas ! ,joy
363,"Ohh, out, oh God, I don't know why we didn't think to check there!",anger
364,Bye.  What a manipulative bitch.,disgust
365," Now let me sing "" Happy birthday "" for you . ",joy
366,I got my s's back!,joy
367, You look so happy . I see a twinkle in your eyes . ,joy
368, Rather . I'm afraid I didn't do very well . ,sadness
369,"Uh me? Gay? No! No. No, but I have a number of close friends who are.",joy
370,Really?!,surprise
371,"I kind of fell asleep  in the meeting this morning so when I said I’d move to Tulsa, I didn’t really  know what I was saying.",neutral
372,Well that’s a full cup!,surprise
373,"You’re going to a clinic, and a pyjama store!",disgust
374,"Oh, I know. Look at him.",joy
375, I hope you like it . ,joy
376,Look at me! I'm Chandler! Could I,joy
377, Thanks a lot . ,joy
378,"And I’m ashamed to say that I took it, I advised a fellow actor to play a role, homosexually.",sadness
379," Yes , we're all proud of her ! ",joy
380,How'd you like to go on a bungee jump this weekend ? ,joy
381," Maybe it's a good things . If you don't have to go to Hong Kong , you can take a break and take things easy for a while . ",joy
382," She was patient , kind , fun , smart , caring , and yet strict , too . I really learned a lot from her . ",joy
383, Don't mention it . ,joy
384," No , but thanks for offering , actually could you bring some fold-up chairs for people if you have any ? I am afraid not everyone's going to have a seat , do you have any ? ",joy
385, Thank you so much . ,joy
386, Don ’ t tell me what to do ! I ’ ll get to it when I get around to it ! ,anger
387,Yeah. I’m gonna have a baby. I’m gonna have a baby. I’m gonna have a baby!,joy
388,Oh I can’t. Dr. Roger is coming over again.,neutral
389, You're welcome . ,joy
390, Of course . Everything's so striking and fascinating . ,joy
391," Oh , yes that would be nice . ",joy
392, I think someone is stalking me . ,fear
393,"Okay, listen this really hurts. Let’s go.",anger
394,"Ross , foot on the floor or come over no more!",neutral
395,"I mean, I mean I was gonna be homeless.",sadness
396, I think that the apple crisp would be wonderful . ,joy
397, Thanks a lot . I expect to see your name nominated pretty soon too . You ’ Ve been doing some great work . ,joy
398,Yeah. Oh! Was how you invented the cotton gin?!,neutral
399,"OK, is there a mute button on this woman?",disgust
400," Oh , thanks , professor Donald . This is really very nice of you . ",joy
401,"Whew, it's hot with all of this stuff on.",neutral
402,Some guy bought it. I’m sorry. I tired to stop it but they  put me in jail!,sadness
403," The weather is so crazy . It rained cats and dogs last night , but cleared up in the morning . ",surprise
404,"Ohh!  Phoebe, this is all your fault! Now he loves her, he’s gonna marry her, and this is all your fault.",anger
405, I don't like anything about it . ,disgust
406, Nasty . You'd better not rub your eyes . ,disgust
407,I have to get to Chicago by tomorrow and you're telling me that there are no flights ? ,anger
408,Is that all?,neutral
409, It's a pleasure . Good night . Have a good sleep . ,joy
410, I am not interested in trying this restaurant again . ,disgust
411, Oh thanks for inviting me . I'd love to come . ,joy
412,Okay?,neutral
413,All weekend? That's a whole lotta naked.,surprise
414," Yes , I did . I enjoyed it a lot.There was a folk singer , a violinist and a pianist . ",joy
415, See you tonight . ,joy
416, Do you ? Nice to meet you ! And here is the invoice and your change . ,joy
417, That's incredible ! She has such a sharp figure . ,surprise
418, Great . Thank you . ,joy
419," Oh , what exactly is problem ? ",surprise
420," Congratulations , I hope everything works out . ",joy
421, I can't believe they would play so good . ,joy
422,"No, you're the best.",neutral
423," Well , he made quite a few mistakes on the monthly report and when his supervisor found them , my manager blamed them on me ! ",anger
424,I’ll really appreciate it.,neutral
425,I had a crush on a teacher once and it was so hard!,joy
426," Yes , I am really excited . ",joy
427, You owe me $ 55 . ,joy
428," Yes , quite right . ",joy
429," Yes , it's really savory . ",joy
430, I ’ m ready and willing to help . ,joy
431," Luckily , his company has a position available here , so he ’ s going to see if he can get relocated . ",joy
432, The pleasure is mine . It's been nice talking with you . Goodbye . ,joy
433, Sounds like a good car ! How many miles to the gallon ? ,joy
434, Sure . Wait a moment . ,joy
435,Oh-oh! So that’s the way it’s gonna be huh? Yeah I can break the rules too y’know!,anger
436,"Ow, I'm just going over the script now! You wanna read lines with    me?",surprise
437, Really ? Why not ? She looks great . ,surprise
438, Thank you ! My wife likes cooking very much . ,joy
439, Thanks for saying so . ,joy
440,"Welcome to my birthday party , I am so happy you can come . ",joy
441," I'm doing great , thank you . ",joy
442, Okay . ,joy
443,Behind my brother's back?  ... is exactly the kind of crazy thing you won't be hearing from me.,anger
444,"Nice to meet you, Chandler Bing",neutral
445," I understand , and I am very sorry . ",sadness
446, how do you know her ? ,surprise
447, Good idea . ,joy
448, That sounds ridiculous . Why ? ,surprise
449,What?  Ow!,surprise
450, But many girls nowaday do want to marry a man filthy with dough . ,disgust
451,"Umm, okay, okay, look.",neutral
452, The style of the exterior is just what I ’ Ve been looking for ! ,joy
453," Oh , that is wonderful . Congratulations ! ",joy
454,Wow!,surprise
455,No no no! Federal regulations!,anger
456," A bit over two years . This is a fast-moving company , and seniority isn ’ t the only factor in deciding promotions . ",joy
457,Joey! Those are my maternity pants!,surprise
458,How can you let him talk to your crotch like that?,surprise
459,"Oh my God, look! That’s Elizabeth!",surprise
460, Great . I'll get our plan started right away . ,joy
461,He does not look happy.,anger
462,Okay.,neutral
463, Thank you . Let met sign it for you ... there you go . ,joy
464,"Okay, ah, before you get all talky again, umm, could you also please tell Sergei that I really like his suit.",joy
465," Yeah , but so what ! I ’ m proud to live in the world ’ s most exciting city . And , the salaries here are the highest in the nation , too . ",joy
466, Thank you very much . ,joy
467,I’m Ross!,joy
468," Sorry , but this is the best price . You can ’ t get it any cheaper than here . ",sadness
469, Thank you . ,joy
470,"Excuse me , would you tell me how to return to Hilton Hotel . I'm afraid I lost my way . ",sadness
471,"She is unbelievable, our mother is...",anger
472,Now that you know what you want you should go to Kleinman’s and get it half off.,neutral
473,Was it not pain-free?,surprise
474,"Well, don't, don't think me immodest, but, me?",surprise
475,He’s looking at me.,neutral
476,"Oh, anyway, they say, if we want, we can see it tonight.",neutral
477, I ’ m sure you ’ ll enjoy the trip . China is such a beautiful country . ,joy
478," I started with game show this morning , I really enjoy them , and even answered the most of questions correctly . ",joy
479, Come and see me again in a month's time . I think you'll be a different man ! ,joy
480," Cooking is a hobby with me . I'm always trying to think up new recipes . I hope you like the soup . It's kind of a specialty of mine , so I hope you enjoy it . ",joy
481, Shadow-boxing ? How interesting ! Do you think it really helpful for your health ? ,joy
482, Thanks for helping me out . I really appreciate it . ,joy
483," No , I ' m sorry . I'm going to meet some friends tomorrow evening . And I ' m too tired now . I have to go to sleep . Goodbye . ",disgust
484, You ’ re kidding . It can ’ t be true . ,surprise
485, It all sounds so relaxing . I wish I could get away to the beach like that . ,joy
486," why not ? I would like to buy some candies . Since there are so many people , I think they must have delicious candy . ",joy
487,Hello Gina ! We've spoken so many times on the phone but's it's so good to finally meet you in person ! ,joy
488, What is it ? ,joy
489,"All right now remember, something this big and long is going to be difficult to manuver, fortunately I have a lot of experience in that area.",neutral
490," Wow , I can't thank you enough . ",joy
491,Thank you.,joy
492, It's no big deal . ,joy
493," sure , here you are . ",joy
494, Well . I ’ m sorry you feel that way . ,sadness
495, Of course . Do you want to see it ? ,joy
496,So what job did you get Joe?,neutral
497,"Listen Joey, seeing as you've got the most experience, I want you to take these dancers and show them the combination.",neutral
498," Well , I hate to have to say this , but I'm not happy with my room . ",disgust
499, Good gracious . That ’ s incredible ! ,surprise
500, OK . Can I have your phone number ? ,joy
501,What?,neutral
502, Sounds like an interesting film . Let's meet at five o'clock on Saturday . ,joy
503, That's what I've heard . ,joy
504, Get out of here ! I didn ’ t even know they were dating ! ,surprise
505,Oh my God!,surprise
506," What ? Not my Dad , I hope ! ? ",surprise
507, I came back to my room and found my suitcase was open and my camera and five hundred dollars in cash inside the wallet were gone . ,sadness
508,Okay then!,joy
509," Yes , I'll have another cocktail . ",joy
510,"Look, if you want to get back at Ross, I am here for you.",neutral
511," Me , too , I can ’ t stop scratching . They are everywhere ! Sneaky little jerks . ",disgust
512,It’s vice-president of a company that does data reconfiguration and statistical factoring for other companies.,neutral
513,"Okay, what else?",neutral
514, Let's get a soft drink . ,joy
515, OK . Thank you very much for your trouble . ,joy
516, I think that would be nice . ,joy
517," It was one of the best times in my life . It was tough , but I made it . I became a college graduate . ",joy
518,"I mean, like in the case of this young woman, she has lost her clothes, so she rides naked on the horse, she’s crying out, ‘Where are they, where are they?’",neutral
519, It ’ s OK . It seems we have a lot in common . ,joy
520,"Hey Ross! So, I was checking out the uh, real estate section",sadness
521,What?,neutral
522," port , please . ",joy
523," Oh , honey ! Don ’ t you remember this important day to us ? ",anger
524,Oh my God.,surprise
525,"I don't know, you don't wanna mess with corn nuts. They're craaazy.",neutral
526, That must have been wonderful . Do anything interesting ? ,joy
527,I’m so-so sorry about yesterday.,sadness
528," Peter , if you don't do it soon , I will throw your toys in the trash can . ",anger
529,"All right, look, I'm just gonna ask you this one time.",neutral
530,Look at you. All jealous.,anger
531, You ’ re kidding . It can ’ t be true . ,surprise
532,Dum! Dum-dum-dum! Dum! Dum! Dum! Dum-dum-dum!,joy
533, I'd say all you've done is moved the dirt from the windows on to your face and hands . Disgraceful ! ,anger
534, All right . Thanks a lot . ,joy
535,My God ! Why did you bring me here ? I hate the taste of coffee . ,disgust
536, It looks like some kind of primitive form of torture . ,disgust
537,Nobody is gonna be staring at the bride when the father of the groom is wearing a back-less dress.,disgust
538,"What do you, what do you mean?",surprise
539,"So I guess I’ll just stumble across the hall and sleep with the first guy I find in there!""",anger
540, Thank you for encouraging me . There are problems cropping up here and there . But I will over come them one by one . ,joy
